path,copy,elbo_Y,rmsd,gdt_ts,gdt_ha,tm,lddt
../structures/1k/1k0n.A.pdb,0,-0.25107595324516296,1.931,0.7389,0.51,0.9042,0.7642
../structures/1k/1k0n.A.pdb,1,-0.30515220761299133,1.911,0.792,0.5785,0.9151,0.7752
../structures/1k/1k0n.A.pdb,2,-0.24210387468338013,2.107,0.7124,0.4823,0.8914,0.7601
../structures/1k/1k0n.A.pdb,3,-0.2663722336292267,1.814,0.7688,0.5398,0.9147,0.7589
../structures/1k/1k0n.A.pdb,4,-0.30068784952163696,2.154,0.74,0.5122,0.8978,0.7689
../structures/1m/1mnm.C.pdb,0,-0.8488559126853943,7.203,0.5747,0.4188,0.5475,0.6416
../structures/1m/1mnm.C.pdb,1,-0.7200382351875305,5.121,0.6169,0.4221,0.5764,0.6596
../structures/1m/1mnm.C.pdb,2,-0.8601528406143188,6.379,0.6299,0.4481,0.5861,0.6708
../structures/1m/1mnm.C.pdb,3,-0.9288055896759033,6.43,0.6071,0.4383,0.5874,0.6517
../structures/1m/1mnm.C.pdb,4,-0.8652889132499695,5.65,0.5779,0.3961,0.5525,0.6046
../structures/1n/1nqj.B.pdb,0,-0.34743690490722656,7.107,0.7303,0.5307,0.7843,0.7299
../structures/1n/1nqj.B.pdb,1,-0.3610784113407135,7.495,0.7259,0.5219,0.7759,0.7317
../structures/1n/1nqj.B.pdb,2,-0.3484979271888733,7.314,0.7259,0.5175,0.7717,0.7252
../structures/1n/1nqj.B.pdb,3,-0.3006606101989746,7.072,0.7478,0.5461,0.7947,0.7341
../structures/1n/1nqj.B.pdb,4,-0.44000524282455444,7.566,0.682,0.4737,0.7483,0.6829
../structures/1n/1noc.A.pdb,0,-1.6863043308258057,29.259,0.0733,0.0363,0.1889,0.2083
../structures/1n/1noc.A.pdb,1,-1.5697311162948608,31.097,0.0733,0.0403,0.1957,0.2222
../structures/1n/1noc.A.pdb,2,-1.567952275276184,31.292,0.0827,0.0457,0.1971,0.2163
../structures/1n/1noc.A.pdb,3,-1.6684406995773315,33.486,0.084,0.043,0.2017,0.2043
../structures/1n/1noc.A.pdb,4,-1.7373871803283691,30.996,0.0692,0.0363,0.1653,0.1965
../structures/1q/1qs8.B.pdb,0,-0.5018502473831177,3.259,0.5777,0.3384,0.8327,0.6605
../structures/1q/1qs8.B.pdb,1,-0.514314591884613,3.06,0.6006,0.3605,0.8529,0.667
../structures/1q/1qs8.B.pdb,2,-0.5217685103416443,3.34,0.5716,0.3316,0.8257,0.6574
../structures/1q/1qs8.B.pdb,3,-0.4889042377471924,3.163,0.5983,0.359,0.8413,0.6601
../structures/1q/1qs8.B.pdb,4,-0.5155312418937683,3.045,0.6189,0.3819,0.8522,0.6609
../structures/1r/1rep.C.pdb,0,-0.47341227531433105,2.378,0.6857,0.4521,0.8604,0.7064
../structures/1r/1rep.C.pdb,1,-0.46251919865608215,2.574,0.6425,0.4124,0.8385,0.7034
../structures/1r/1rep.C.pdb,2,-0.5077725648880005,2.723,0.6449,0.4147,0.8256,0.6991
../structures/1r/1rep.C.pdb,3,-0.4768805205821991,2.529,0.6577,0.4264,0.8423,0.6953
../structures/1r/1rep.C.pdb,4,-0.48073527216911316,3.414,0.5841,0.354,0.7663,0.6784
../structures/1u/1uxm.K.pdb,0,-0.3570094108581543,1.436,0.8382,0.6275,0.9235,0.8035
../structures/1u/1uxm.K.pdb,1,-0.2747841477394104,1.463,0.8333,0.6144,0.9185,0.7873
../structures/1u/1uxm.K.pdb,2,-0.2768464982509613,1.531,0.8333,0.6176,0.9163,0.7921
../structures/1u/1uxm.K.pdb,3,-0.2930781841278076,1.394,0.8366,0.6144,0.9238,0.7925
../structures/1u/1uxm.K.pdb,4,-0.2728118300437927,1.536,0.8333,0.6242,0.9129,0.7864
../structures/1x/1x0g.A.pdb,0,-0.34731799364089966,3.038,0.7451,0.5245,0.7876,0.752
../structures/1x/1x0g.A.pdb,1,-0.3267291188240051,2.422,0.7304,0.5098,0.7868,0.7404
../structures/1x/1x0g.A.pdb,2,-0.40801581740379333,3.19,0.7377,0.5294,0.7855,0.7299
../structures/1x/1x0g.A.pdb,3,-0.36924871802330017,2.83,0.7426,0.5294,0.785,0.7394
../structures/1x/1x0g.A.pdb,4,-0.3630012273788452,2.659,0.7623,0.5392,0.8024,0.7524
../structures/1x/1xju.B.pdb,0,-0.33632993698120117,5.274,0.629,0.4306,0.7332,0.6359
../structures/1x/1xju.B.pdb,1,-0.4150484502315521,4.11,0.6758,0.4726,0.78,0.6631
../structures/1x/1xju.B.pdb,2,-0.5646909475326538,7.813,0.6032,0.4161,0.6983,0.6242
../structures/1x/1xju.B.pdb,3,-0.363226979970932,4.877,0.629,0.4274,0.736,0.6246
../structures/1x/1xju.B.pdb,4,-0.3945665657520294,4.888,0.6016,0.4032,0.7094,0.6128
../structures/1x/1xnt.A.pdb,0,-0.7293750047683716,3.273,0.6772,0.457,0.7806,0.6611
../structures/1x/1xnt.A.pdb,1,-0.8170862197875977,4.767,0.6242,0.4139,0.7333,0.6048
../structures/1x/1xnt.A.pdb,2,-0.8291184902191162,4.457,0.6209,0.4056,0.731,0.6006
../structures/1x/1xnt.A.pdb,3,-0.76896071434021,4.825,0.6142,0.4056,0.7138,0.607
../structures/1x/1xnt.A.pdb,4,-0.7326587438583374,3.859,0.6838,0.4619,0.7863,0.6634
../structures/2h/2hdm.A.pdb,0,-1.1700509786605835,6.604,0.5743,0.3986,0.5587,0.596
../structures/2h/2hdm.A.pdb,1,-1.0721031427383423,5.573,0.6655,0.4797,0.6413,0.6326
../structures/2h/2hdm.A.pdb,2,-0.9931600689888,6.15,0.7027,0.5068,0.6945,0.6681
../structures/2h/2hdm.A.pdb,3,-1.0679211616516113,4.984,0.6723,0.4831,0.6447,0.6465
../structures/2h/2hdm.A.pdb,4,-0.9863264560699463,5.579,0.6622,0.4797,0.6563,0.6683
../structures/2o/2oug.C.pdb,0,-0.5092325806617737,4.018,0.6525,0.4326,0.7466,0.6705
../structures/2o/2oug.C.pdb,1,-0.44487133622169495,3.77,0.6773,0.4628,0.7704,0.6575
../structures/2o/2oug.C.pdb,2,-0.4441549479961395,3.721,0.6897,0.4787,0.7774,0.7028
../structures/2o/2oug.C.pdb,3,-0.4841524362564087,4.281,0.6915,0.477,0.7749,0.6888
../structures/2o/2oug.C.pdb,4,-0.5888544321060181,4.725,0.6596,0.4504,0.7353,0.6575
../structures/3h/3hdf.A.pdb,0,-0.305734246969223,5.056,0.5,0.2989,0.5665,0.6108
../structures/3h/3hdf.A.pdb,1,-0.3730005621910095,4.755,0.5414,0.344,0.6265,0.6176
../structures/3h/3hdf.A.pdb,2,-0.2985959053039551,4.724,0.5545,0.3496,0.6506,0.619
../structures/3h/3hdf.A.pdb,3,-0.35899490118026733,4.596,0.5545,0.3534,0.6492,0.6112
../structures/3h/3hdf.A.pdb,4,-0.2780188024044037,4.644,0.5489,0.3402,0.6507,0.6242
../structures/3i/3ifa.A.pdb,0,-0.48336708545684814,4.126,0.6012,0.3696,0.8453,0.6823
../structures/3i/3ifa.A.pdb,1,-0.421657532453537,4.181,0.6465,0.4164,0.8674,0.7028
../structures/3i/3ifa.A.pdb,2,-0.4330255091190338,3.712,0.6319,0.398,0.8636,0.6858
../structures/3i/3ifa.A.pdb,3,-0.4715149700641632,4.165,0.6304,0.3988,0.8517,0.6926
../structures/3i/3ifa.A.pdb,4,-0.40225914120674133,3.513,0.6549,0.4264,0.8706,0.7024
../structures/3j/3j7w.B.pdb,0,-0.8280199766159058,17.109,0.379,0.2004,0.6092,0.5353
../structures/3j/3j7w.B.pdb,1,-0.8202728629112244,15.885,0.3389,0.1713,0.5724,0.5129
../structures/3j/3j7w.B.pdb,2,-0.8872672319412231,18.362,0.3469,0.1815,0.575,0.5143
../structures/3j/3j7w.B.pdb,3,-0.8175716400146484,16.012,0.3615,0.1895,0.5896,0.5238
../structures/3j/3j7w.B.pdb,4,-0.7786640524864197,14.848,0.3564,0.1829,0.593,0.5088
../structures/3j/3jv6.A.pdb,0,-0.39861103892326355,1.873,0.7748,0.5569,0.8342,0.7095
../structures/3j/3jv6.A.pdb,1,-0.38445740938186646,1.812,0.8094,0.5965,0.8567,0.7515
../structures/3j/3jv6.A.pdb,2,-0.36589792370796204,1.748,0.7871,0.5668,0.8401,0.7307
../structures/3j/3jv6.A.pdb,3,-0.4218404293060303,2.123,0.7599,0.5297,0.8186,0.715
../structures/3j/3jv6.A.pdb,4,-0.36834126710891724,1.727,0.7921,0.5743,0.8504,0.7257
../structures/3k/3kuy.A.pdb,0,-0.7158604264259338,2.473,0.7161,0.5,0.7416,0.7476
../structures/3k/3kuy.A.pdb,1,-0.766277551651001,3.341,0.7188,0.5182,0.7164,0.7454
../structures/3k/3kuy.A.pdb,2,-0.7528533935546875,2.429,0.6849,0.4635,0.727,0.7575
../structures/3k/3kuy.A.pdb,3,-0.7079528570175171,2.729,0.7292,0.5312,0.762,0.8212
../structures/3k/3kuy.A.pdb,4,-0.6837543845176697,1.996,0.75,0.5365,0.7885,0.7738
../structures/3m/3m1b.F.pdb,0,-0.28068146109580994,1.135,0.8965,0.6919,0.9182,0.8399
../structures/3m/3m1b.F.pdb,1,-0.22065018117427826,1.307,0.8586,0.6439,0.896,0.8105
../structures/3m/3m1b.F.pdb,2,-0.2609640061855316,1.66,0.8359,0.6187,0.8715,0.7912
../structures/3m/3m1b.F.pdb,3,-0.4083106517791748,1.504,0.8359,0.6288,0.8745,0.7825
../structures/3m/3m1b.F.pdb,4,-0.29881876707077026,1.533,0.8359,0.6288,0.8711,0.8039
../structures/3o/3o44.A.pdb,0,-2.158344268798828,36.427,0.0361,0.0146,0.1495,0.1506
../structures/3o/3o44.A.pdb,1,-2.1152329444885254,41.035,0.04,0.0155,0.1498,0.1533
../structures/3o/3o44.A.pdb,2,-2.161097764968872,40.551,0.0387,0.0142,0.1605,0.1489
../structures/3o/3o44.A.pdb,3,-2.144460678100586,36.196,0.0396,0.0138,0.1765,0.1547
../structures/3o/3o44.A.pdb,4,-2.1234021186828613,42.12,0.0546,0.0194,0.181,0.1607
../structures/3q/3qy2.A.pdb,0,-0.2945462763309479,6.453,0.7619,0.5619,0.8101,0.7734
../structures/3q/3qy2.A.pdb,1,-0.43397074937820435,7.107,0.7357,0.5333,0.7857,0.7474
../structures/3q/3qy2.A.pdb,2,-0.44768744707107544,5.831,0.7357,0.5286,0.7781,0.7426
../structures/3q/3qy2.A.pdb,3,-0.35416150093078613,4.401,0.7357,0.5238,0.7901,0.7375
../structures/3q/3qy2.A.pdb,4,-0.40686148405075073,5.312,0.719,0.5167,0.7783,0.7476
../structures/3t/3tp2.A.pdb,0,-0.8149945139884949,8.858,0.5578,0.3689,0.6836,0.5729
../structures/3t/3tp2.A.pdb,1,-0.6381499767303467,10.766,0.5356,0.35,0.6885,0.5711
../structures/3t/3tp2.A.pdb,2,-0.6459708213806152,8.435,0.4878,0.2956,0.6604,0.5583
../structures/3t/3tp2.A.pdb,3,-0.8553804159164429,9.283,0.5189,0.3444,0.6657,0.5612
../structures/3t/3tp2.A.pdb,4,-0.6787445545196533,8.435,0.5433,0.35,0.6988,0.5643
../structures/3u/3uyi.A.pdb,0,-0.3369068205356598,9.058,0.5825,0.3702,0.7907,0.6985
../structures/3u/3uyi.A.pdb,1,-0.3300308585166931,8.988,0.5633,0.3534,0.7682,0.675
../structures/3u/3uyi.A.pdb,2,-0.3630915582180023,8.962,0.5873,0.3766,0.7926,0.6809
../structures/3u/3uyi.A.pdb,3,-0.3686492145061493,9.265,0.5825,0.3734,0.7823,0.6822
../structures/3u/3uyi.A.pdb,4,-0.3790339231491089,8.928,0.5673,0.3534,0.7695,0.6737
../structures/3z/3zwg.N.pdb,0,-0.3326171934604645,2.13,0.7781,0.5506,0.8872,0.7332
../structures/3z/3zwg.N.pdb,1,-0.3280268907546997,1.822,0.7809,0.5576,0.897,0.7544
../structures/3z/3zwg.N.pdb,2,-0.2666819095611572,2.078,0.7697,0.5421,0.8915,0.7563
../structures/3z/3zwg.N.pdb,3,-0.25062042474746704,1.849,0.802,0.5787,0.9069,0.7784
../structures/3z/3zwg.N.pdb,4,-0.3156851530075073,2.344,0.7444,0.5154,0.8776,0.7257
../structures/4a/4aan.A.pdb,0,-0.5754772424697876,5.533,0.4348,0.2143,0.6889,0.5791
