path,copy,elbo_Y,rmsd,gdt_ts,gdt_ha,tm,lddt
../structures/7o/7oj1.A.pdb,0,-1.3387672901153564,22.074,0.2519,0.1278,0.4638,0.3519
../structures/7o/7oj1.A.pdb,1,-1.3303717374801636,20.711,0.2606,0.149,0.4276,0.3663
../structures/7o/7oj1.A.pdb,2,-1.325610637664795,22.588,0.2843,0.1665,0.449,0.3922
../structures/7o/7oj1.A.pdb,3,-1.4140151739120483,29.473,0.2413,0.139,0.4161,0.3382
../structures/7o/7oj1.A.pdb,4,-1.3036401271820068,25.63,0.2082,0.1097,0.3679,0.3545
../structures/7o/7oj2.A.pdb,0,-0.8775564432144165,11.071,0.546,0.3456,0.7462,0.5899
../structures/7o/7oj2.A.pdb,1,-0.9890708923339844,12.056,0.4979,0.3137,0.6956,0.5586
../structures/7o/7oj2.A.pdb,2,-0.9293715953826904,10.933,0.5198,0.3307,0.7281,0.5917
../structures/7o/7oj2.A.pdb,3,-0.9009825587272644,12.692,0.5113,0.3286,0.7066,0.5722
../structures/7o/7oj2.A.pdb,4,-0.9276700615882874,15.135,0.512,0.3421,0.6809,0.5586
../structures/7t/7t5w.B.pdb,0,-0.4993385970592499,3.236,0.75,0.5915,0.5806,0.7855
../structures/7t/7t5w.B.pdb,1,-0.37906014919281006,2.71,0.7683,0.5915,0.5591,0.844
../structures/7t/7t5w.B.pdb,2,-0.5218915343284607,5.403,0.7561,0.6159,0.5779,0.8064
../structures/7t/7t5w.B.pdb,3,-0.4371257424354553,2.838,0.7927,0.6402,0.6314,0.8231
../structures/7t/7t5w.B.pdb,4,-0.33414608240127563,3.092,0.8659,0.7134,0.748,0.8175
../structures/7t/7tif.A.pdb,0,-1.96311616897583,44.218,0.125,0.0547,0.2933,0.2076
../structures/7t/7tif.A.pdb,1,-1.9290194511413574,27.683,0.1615,0.074,0.341,0.235
../structures/7t/7tif.A.pdb,2,-1.9272741079330444,30.976,0.1411,0.0655,0.3092,0.2351
../structures/7t/7tif.A.pdb,3,-1.9649251699447632,22.774,0.0976,0.0429,0.2688,0.1831
../structures/7t/7tif.A.pdb,4,-1.937368631362915,34.984,0.11,0.0456,0.265,0.2064
../structures/7u/7upm.A.pdb,0,-0.43489962816238403,3.169,0.6492,0.4196,0.8222,0.7079
../structures/7u/7upm.A.pdb,1,-0.361232191324234,2.722,0.6764,0.4467,0.854,0.7337
../structures/7u/7upm.A.pdb,2,-0.3738333582878113,2.747,0.6909,0.4651,0.8612,0.7254
../structures/7u/7upm.A.pdb,3,-0.41876691579818726,2.56,0.6938,0.4632,0.8683,0.7304
../structures/7u/7upm.A.pdb,4,-0.3948391377925873,3.48,0.6269,0.3953,0.7969,0.7085
../structures/7v/7vd7.B.pdb,0,-0.8206456303596497,10.815,0.4545,0.3523,0.354,0.6997
../structures/7v/7vd7.B.pdb,1,-0.8294187784194946,8.274,0.4432,0.3239,0.3163,0.6518
../structures/7v/7vd7.B.pdb,2,-1.4107578992843628,7.754,0.3693,0.2102,0.2103,0.5243
../structures/7v/7vd7.B.pdb,3,-1.2372456789016724,7.433,0.4261,0.2898,0.2861,0.5906
../structures/7v/7vd7.B.pdb,4,-0.6131883859634399,6.969,0.4545,0.3352,0.3306,0.6971
../structures/7v/7vfc.A.pdb,0,-0.563186526298523,3.456,0.6535,0.432,0.8172,0.6565
../structures/7v/7vfc.A.pdb,1,-0.4736528694629669,2.979,0.6875,0.4605,0.8506,0.6903
../structures/7v/7vfc.A.pdb,2,-0.4702889621257782,3.163,0.6765,0.4485,0.8317,0.6632
../structures/7v/7vfc.A.pdb,3,-0.4367561936378479,2.865,0.6765,0.4463,0.853,0.6705
../structures/7v/7vfc.A.pdb,4,-0.4595225155353546,3.206,0.6568,0.4254,0.8403,0.6798
../structures/7v/7vfq.C.pdb,0,-1.3206450939178467,8.968,0.3489,0.1688,0.6182,0.4348
../structures/7v/7vfq.C.pdb,1,-1.5231916904449463,12.432,0.3218,0.1795,0.5321,0.3545
../structures/7v/7vfq.C.pdb,2,-1.2477400302886963,25.777,0.3092,0.1694,0.4729,0.3567
../structures/7v/7vfq.C.pdb,3,-1.2564629316329956,15.418,0.3602,0.1996,0.5845,0.3899
../structures/7v/7vfq.C.pdb,4,-1.405524730682373,11.798,0.3048,0.1505,0.5507,0.384
../structures/7w/7wfx.A.pdb,0,-1.9507781267166138,30.115,0.144,0.073,0.3087,0.2381
../structures/7w/7wfx.A.pdb,1,-1.9878956079483032,37.547,0.1146,0.0532,0.2556,0.2147
../structures/7w/7wfx.A.pdb,2,-1.978350281715393,31.03,0.108,0.0492,0.2706,0.2072
../structures/7w/7wfx.A.pdb,3,-2.0593507289886475,26.838,0.0903,0.0396,0.257,0.1785
../structures/7w/7wfx.A.pdb,4,-1.916897177696228,32.276,0.1506,0.0766,0.3131,0.2254
../structures/7x/7x0g.A.pdb,0,-0.26363202929496765,2.891,0.6398,0.4045,0.8423,0.7409
../structures/7x/7x0g.A.pdb,1,-0.26997625827789307,3.006,0.6207,0.3845,0.8294,0.7359
../structures/7x/7x0g.A.pdb,2,-0.2740879952907562,3.119,0.6241,0.388,0.822,0.7556
../structures/7x/7x0g.A.pdb,3,-0.2377043217420578,3.09,0.6319,0.3976,0.8263,0.7538
../structures/7x/7x0g.A.pdb,4,-0.2793547213077545,2.583,0.6667,0.4306,0.8703,0.7362
../structures/7x/7x0q.A.pdb,0,-0.710731029510498,4.949,0.4302,0.2086,0.7267,0.5959
../structures/7x/7x0q.A.pdb,1,-0.7237920761108398,6.186,0.4206,0.2169,0.6823,0.5868
